No,EVE,YEAR,WEEKDAYS,DATE,FLIGHT,V_LENGTH,TIMELINE,TECHINICIAN,FOOTAGE_AREA,POLICE_PRESENCE,SURVEY_BOAT,NO_WS,NO_BOAT,NO_SWIMMER
29,E29,2016,Thursday,25-Aug-16,25AUG16092000501,921,335,Hoa,39631.707,no,yes,62,11,27
30,E30,2016,Thursday,25-Aug-16,25AUG16092000501,921,409,Hoa,37028.973,no,yes,63,11,31
31,E31,2016,Thursday,25-Aug-16,25AUG16092000501,921,445,Hoa,41230.13,no,yes,64,11,31
32,E32,2016,Thursday,25-Aug-16,25AUG16092000501,921,457,Hoa,37450.145,no,yes,63,14,31
33,E33,2016,Thursday,25-Aug-16,25AUG16092000501,921,551,Hoa,37900.265,no,yes,64,13,24
34,E34,2016,Thursday,25-Aug-16,25AUG16092000501,921,621,Hoa,38371.108,no,yes,61,14,25
35,E35,2016,Thursday,25-Aug-16,25AUG16092000501,921,729,Hoa,38799.168,no,yes,45,16,26
36,E36,2016,Thursday,25-Aug-16,25AUG16092000501,921,820,Hoa,40813.971,no,yes,47,18,28
37,E37,2016,Thursday,25-Aug-16,25AUG16092000501,921,906,Hoa,34120.185,no,yes,44,18,26
38,E38,2016,Thursday,25-Aug-16,25AUG16092000502,350,14,Hoa,39839.537,no,yes,44,19,27
39,E39,2016,Thursday,25-Aug-16,25AUG16092000502,350,158,Hoa,14885.321,no,yes,26,11,28
40,E40,2016,Thursday,25-Aug-16,25AUG16095400601,902,134,Hoa,195999.16,no,yes,27,7,21
41,E41,2016,Thursday,25-Aug-16,25AUG16095400601,902,339,Hoa,29664.094,no,yes,20,5,11
42,E42,2016,Thursday,25-Aug-16,25AUG16095400601,902,432,Hoa,41552.511,no,yes,40,16,14
43,E43,2016,Thursday,25-Aug-16,25AUG16095400601,902,510,Hoa,43082.683,no,yes,61,25,35
44,E44,2016,Thursday,25-Aug-16,25AUG16095400601,902,637,Hoa,42758.221,no,yes,56,24,30
45,E45,2016,Thursday,25-Aug-16,25AUG16095400601,902,708,Hoa,43529.217,no,yes,45,22,31
46,E46,2016,Thursday,25-Aug-16,25AUG16095400601,902,806,Hoa,40129.527,no,yes,34,16,37
47,E47,2016,Thursday,25-Aug-16,25AUG16095400601,902,844,Hoa,40217.597,no,yes,35,15,32
48,E48,2016,Thursday,25-Aug-16,25AUG16095400601,902,920,Hoa,40202.41,no,yes,37,16,33
49,E49,2016,Thursday,25-Aug-16,25AUG16095400602,422,25,Hoa,35155.091,no,yes,44,15,32
50,E50,2016,Thursday,25-Aug-16,25AUG16095400602,422,111,Hoa,29589.087,no,yes,36,10,22
51,E51,2016,Thursday,25-Aug-16,25AUG16095400602,422,151,Hoa,20572.847,no,yes,20,7,18
52,E52,2016,Thursday,25-Aug-16,25AUG16102900701,920,101,Hoa,14636.306,no,yes,4,6,13
53,E53,2016,Thursday,25-Aug-16,25AUG16102900701,920,255,Hoa,16603.108,no,yes,7,6,13
54,E54,2016,Thursday,25-Aug-16,25AUG16102900701,920,349,Hoa,18334.172,no,yes,8,5,7
55,E55,2016,Thursday,25-Aug-16,25AUG16102900701,920,435,Hoa,18079.431,no,yes,8,3,10
56,E57,2016,Thursday,25-Aug-16,25AUG16102900702,356,31,Hoa,18632.023,no,yes,2,4,8
57,E58,2016,Thursday,25-Aug-16,25AUG16105800801,921,132,Hoa,9235.424,no,yes,6,2,0
58,E61,2016,Thursday,25-Aug-16,25AUG16113300901,513,131,Hoa,22939.165,no,yes,16,3,0
59,E62,2016,Thursday,25-Aug-16,25AUG16113300901,513,329,Hoa,25981.123,no,yes,32,2,0
60,E63,2016,Thursday,25-Aug-16,25AUG16113300901,513,503,Hoa,21277.546,no,yes,34,2,3
61,E64,2016,Thursday,25-Aug-16,25AUG16113300904,206,15,Hoa,21946.067,no,yes,31,2,5
62,E65,2016,Thursday,25-Aug-16,25AUG16113300908,607,19,Hoa,31021.94,no,yes,26,3,3
63,E68,2016,Thursday,25-Aug-16,25AUG16131601004,107,1,Hoa,23553.05,no,yes,20,2,3
64,E70,2016,Friday,26-Aug-16,26AUG16080501207,732,235,Malvika,31607.545,no,yes,28,2,0
65,E71,2016,Friday,26-Aug-16,26AUG16080501207,732,311,Malvika,32333.884,no,yes,31,3,3
66,E72,2016,Friday,26-Aug-16,26AUG16080501207,732,332,Malvika,37697.627,no,yes,33,3,3
67,E73,2016,Friday,26-Aug-16,26AUG16082601301,724,31,Malvika,24404.223,no,yes,33,4,3
68,E74,2016,Friday,26-Aug-16,26AUG16082601301,724,109,Malvika,33361.081,no,yes,35,6,12
69,E75,2016,Friday,26-Aug-16,26AUG16082601301,724,130,Malvika,38298.087,no,yes,41,5,6
70,E76,2016,Friday,26-Aug-16,26AUG16082601301,724,203,Malvika,38940.655,no,yes,45,5,6
71,E77,2016,Friday,26-Aug-16,26AUG16082601301,724,237,Malvika,39569.51,no,yes,35,5,12
72,E78,2016,Friday,26-Aug-16,26AUG16082601301,724,346,Malvika,38311.49,no,yes,24,5,9
73,E79,2016,Friday,26-Aug-16,26AUG16082601301,724,408,Malvika,28353.46,no,yes,27,5,9
74,E80,2016,Friday,26-Aug-16,26AUG16082601301,724,535,Malvika,39067.781,no,yes,28,4,7
75,E81,2016,Friday,26-Aug-16,26AUG16082601301,724,707,Malvika,39002.54,no,yes,37,5,9
76,E82,2016,Friday,26-Aug-16,26AUG16082601304,731,30,Malvika,39221.376,no,yes,35,5,8
77,E83,2016,Friday,26-Aug-16,26AUG16082601304,731,122,Malvika,40504.69,no,yes,47,5,8
78,E84,2016,Friday,26-Aug-16,26AUG16082601304,731,208,Malvika,38306.406,no,yes,41,7,20
79,E85,2016,Friday,26-Aug-16,26AUG16082601304,731,257,Malvika,36234.768,no,yes,43,7,12
80,E86,2016,Friday,26-Aug-16,26AUG16082601304,731,333,Malvika,37196.608,no,yes,41,7,18
81,E87,2016,Friday,26-Aug-16,26AUG16082601304,731,436,Malvika,42418.971,no,yes,50,5,12
82,E88,2016,Friday,26-Aug-16,26AUG16090201401,306,116,Malvika,39509.116,no,yes,51,12,21
83,E89,2016,Friday,26-Aug-16,26AUG16090201401,306,135,Malvika,38209.685,no,yes,54,9,15
84,E90,2016,Friday,26-Aug-16,26AUG16090201401,306,211,Malvika,27118.039,no,yes,51,12,12
85,E91,2016,Friday,26-Aug-16,26AUG16090201401,306,249,Malvika,33951.174,no,yes,48,13,12
86,E92,2016,Friday,26-Aug-16,26AUG16090201401,306,305,Malvika,33139.075,no,yes,50,14,12
87,E93,2016,Friday,26-Aug-16,26AUG16090201404,358,18,Malvika,38284.308,no,yes,50,16,12
88,E94,2016,Friday,26-Aug-16,26AUG16090201404,358,107,Malvika,43519.981,no,yes,52,14,12
89,E95,2016,Friday,26-Aug-16,26AUG16090201404,358,131,Malvika,37434.768,no,yes,51,16,15
90,E96,2016,Friday,26-Aug-16,26AUG16090201404,358,203,Malvika,36234.778,no,yes,50,15,18
91,E97,2016,Friday,26-Aug-16,26AUG16090201404,358,234,Malvika,42549.112,no,yes,50,16,12
92,E98,2016,Friday,26-Aug-16,26AUG16090201404,358,339,Malvika,37484.418,no,yes,51,16,15
93,E99,2016,Friday,26-Aug-16,26AUG16090201404,358,357,Malvika,38336.128,no,yes,51,16,12
94,E100,2016,Friday,26-Aug-16,26AUG16090201406,658,55,Malvika,30418.565,no,yes,50,16,15
95,E101,2016,Friday,26-Aug-16,26AUG16090201406,658,127,Malvika,37646.247,no,yes,50,15,15
96,E102,2016,Friday,26-Aug-16,26AUG16090201406,658,220,Malvika,38124.042,no,yes,54,20,21
97,E103,2016,Friday,26-Aug-16,26AUG16090201406,658,252,Malvika,38457.66,no,yes,53,24,24
98,E104,2016,Friday,26-Aug-16,26AUG16090201406,658,342,Malvika,38603.114,no,yes,51,27,24
99,E105,2016,Friday,26-Aug-16,26AUG16090201406,658,414,Malvika,38130.983,no,yes,47,26,21
100,E106,2016,Friday,26-Aug-16,26AUG16090201406,658,454,Malvika,39177.732,no,yes,50,25,24
101,E107,2016,Friday,26-Aug-16,26AUG16090201406,658,523,Malvika,39218.675,no,yes,48,23,21
102,E108,2016,Friday,26-Aug-16,26AUG16093101503,447,123,Malvika,36980.214,no,yes,47,24,15
103,E109,2016,Friday,26-Aug-16,26AUG16093101503,447,207,Malvika,38020.484,no,yes,49,25,18
104,E110,2016,Friday,26-Aug-16,26AUG16093101503,447,301,Malvika,40332.982,no,yes,50,23,15
105,E111,2016,Friday,26-Aug-16,26AUG16093101503,447,407,Malvika,36975.441,no,yes,49,19,15
106,E112,2016,Friday,26-Aug-16,26AUG16093101503,447,430,Malvika,40073.923,no,yes,50,21,12
107,E113,2016,Friday,26-Aug-16,26AUG16093101505,829,34,Malvika,38236.226,no,yes,54,28,21
108,E114,2016,Friday,26-Aug-16,26AUG16093101505,829,116,Malvika,37388.452,no,yes,47,27,33
109,E115,2016,Friday,26-Aug-16,26AUG16093101505,829,157,Malvika,40712.982,no,yes,32,22,30
110,E116,2016,Friday,26-Aug-16,26AUG16093101505,829,224,Malvika,37388.452,no,yes,36,22,30
111,E117,2016,Friday,26-Aug-16,26AUG16093101505,829,317,Malvika,38346.416,no,yes,30,21,33
112,E118,2016,Friday,26-Aug-16,26AUG16093101505,829,358,Malvika,37526.433,no,yes,21,17,24
113,E119,2016,Friday,26-Aug-16,26AUG16093101505,829,442,Malvika,39421.692,no,yes,24,16,18
114,E120,2016,Friday,26-Aug-16,26AUG16093101505,829,546,Malvika,37782.519,no,yes,23,20,24
115,E121,2016,Friday,26-Aug-16,26AUG16093101505,829,740,Malvika,37983.424,no,yes,17,10,15
116,E122,2016,Friday,26-Aug-16,26AUG16100001601,327,130,Malvika,38259.249,no,yes,28,23,34
117,E123,2016,Friday,26-Aug-16,26AUG16100001601,327,240,Malvika,38562.671,no,yes,30,17,33
118,E124,2016,Friday,26-Aug-16,26AUG16100001601,327,312,Malvika,37789.215,no,yes,46,31,48
119,E125,2016,Friday,26-Aug-16,26AUG16100001603,921,35,Malvika,37145.298,no,yes,45,32,39
120,E126,2016,Friday,26-Aug-16,26AUG16100001603,921,120,Malvika,38355.278,no,yes,41,29,36
121,E127,2016,Friday,26-Aug-16,26AUG16100001603,921,149,Malvika,41156.701,no,yes,42,28,48
122,E128,2016,Friday,26-Aug-16,26AUG16100001603,921,220,Malvika,40019.656,no,yes,46,26,36
123,E129,2016,Friday,26-Aug-16,26AUG16100001603,921,315,Malvika,39931.646,no,yes,52,32,36
124,E130,2016,Friday,26-Aug-16,26AUG16100001603,921,356,Malvika,39274.211,no,yes,32,19,30
125,E131,2016,Friday,26-Aug-16,26AUG16100001603,921,501,Malvika,38925.691,no,yes,30,21,18
126,E132,2016,Friday,26-Aug-16,26AUG16100001603,921,607,Malvika,38831.333,no,yes,38,23,21
127,E133,2016,Friday,26-Aug-16,26AUG16100001603,921,639,Malvika,38591.489,no,yes,5,7,3
128,E134,2016,Friday,26-Aug-16,26AUG16100001603,921,722,Malvika,37415.275,no,yes,7,10,3
129,E135,2016,Friday,26-Aug-16,26AUG16100001603,921,808,Malvika,37302.074,no,yes,36,23,21
130,E136,2016,Friday,26-Aug-16,26AUG16100001603,921,900,Malvika,37020.913,no,yes,25,22,24
131,E137,2016,Friday,26-Aug-16,26AUG16103801701,921,131,Malvika,38983.875,no,yes,48,18,21
132,E138,2016,Friday,26-Aug-16,26AUG16103801701,921,213,Malvika,38594.3,no,yes,43,19,21
133,E139,2016,Friday,26-Aug-16,26AUG16103801701,921,307,Malvika,37660.756,no,yes,41,19,21
134,E140,2016,Friday,26-Aug-16,26AUG16103801701,921,410,Malvika,37687.395,no,yes,52,18,24
135,E141,2016,Friday,26-Aug-16,26AUG16103801701,921,457,Malvika,39229.312,no,yes,54,21,30
136,E142,2016,Friday,26-Aug-16,26AUG16103801701,921,541,Malvika,37800.149,no,yes,49,35,27
137,E143,2016,Friday,26-Aug-16,26AUG16103801701,921,626,Malvika,37042.439,no,yes,51,31,33
138,E144,2016,Friday,26-Aug-16,26AUG16103801701,921,704,Malvika,39425.907,no,yes,51,34,30
139,E145,2016,Friday,26-Aug-16,26AUG16103801701,921,740,Malvika,41338.146,no,yes,48,31,27
140,E146,2016,Friday,26-Aug-16,26AUG16103801701,921,802,Malvika,39861.454,no,yes,41,17,21
141,E147,2016,Friday,26-Aug-16,26AUG16103801701,921,900,Malvika,38136.897,no,yes,53,33,27
142,E148,2016,Friday,26-Aug-16,26AUG16103801702,425,27,Malvika,39547.787,no,yes,32,23,15
143,E149,2016,Friday,26-Aug-16,26AUG16103801702,425,52,Malvika,38118.409,no,yes,34,21,18
144,E150,2016,Friday,26-Aug-16,26AUG16103801702,425,132,Malvika,37905.679,no,yes,33,23,21
145,E151,2016,Friday,26-Aug-16,26AUG16103801702,425,223,Malvika,38320.472,no,yes,31,24,9
146,E152,2016,Friday,26-Aug-16,26AUG16103801702,425,330,Malvika,37616.21,no,yes,34,22,15
147,E153,2016,Friday,26-Aug-16,26AUG16103801702,425,355,Malvika,39875.503,no,yes,37,25,15
148,E154,2016,Friday,26-Aug-16,26AUG16110101801,921,147,Malvika,39138.057,no,yes,35,26,15
149,E155,2016,Friday,26-Aug-16,26AUG16110101801,921,233,Malvika,41378.159,no,yes,32,28,18
150,E156,2016,Friday,26-Aug-16,26AUG16110101801,921,322,Malvika,38720.822,no,yes,35,23,21
151,E157,2016,Friday,26-Aug-16,26AUG16110101801,921,441,Malvika,41338.453,no,yes,37,24,21
152,E158,2016,Friday,26-Aug-16,26AUG16110101801,921,529,Malvika,37341.473,no,yes,35,23,24
153,E159,2016,Friday,26-Aug-16,26AUG16110101801,921,635,Malvika,39119.543,no,yes,36,21,21
154,E160,2016,Friday,26-Aug-16,26AUG16110101801,921,802,Malvika,37536.002,no,yes,35,20,24
155,E161,2016,Friday,26-Aug-16,26AUG16110101801,921,828,Malvika,38085.038,no,yes,45,27,33
156,E162,2016,Friday,26-Aug-16,26AUG16110101801,921,847,Malvika,36804.36,no,yes,40,22,30
157,E163,2016,Friday,26-Aug-16,26AUG16110101802,556,37,Malvika,37832.245,no,yes,38,24,27
158,E164,2016,Friday,26-Aug-16,26AUG16110101802,556,128,Malvika,37328.016,no,yes,39,23,30
159,E165,2016,Friday,26-Aug-16,26AUG16110101802,556,235,Malvika,39656.348,no,yes,35,27,30
160,E166,2016,Friday,26-Aug-16,26AUG16110101802,556,311,Malvika,34570.087,no,yes,39,21,24
161,E167,2016,Friday,26-Aug-16,26AUG16110101802,556,351,Malvika,39045.136,no,yes,32,20,21
162,E168,2016,Friday,26-Aug-16,26AUG16112101901,922,145,Malvika,35692.86,no,yes,33,24,24
163,E169,2016,Friday,26-Aug-16,26AUG16112101901,922,204,Malvika,39580.241,no,yes,35,27,21
164,E170,2016,Friday,26-Aug-16,26AUG16112101901,922,313,Malvika,38163.624,no,yes,34,23,24
165,E171,2016,Friday,26-Aug-16,26AUG16112101901,922,416,Malvika,37177.272,no,yes,31,24,24
166,E172,2016,Friday,26-Aug-16,26AUG16112101901,922,459,Malvika,39403.629,no,yes,42,28,30
167,E173,2016,Friday,26-Aug-16,26AUG16112101901,922,512,Malvika,41477.988,no,yes,40,26,27
168,E174,2016,Friday,26-Aug-16,26AUG16112101901,922,621,Malvika,38833.905,no,yes,41,25,27
169,E175,2016,Friday,26-Aug-16,26AUG16112101901,922,702,Malvika,37483.298,no,yes,43,23,24
170,E176,2016,Friday,26-Aug-16,26AUG16112101901,922,725,Malvika,38439.521,no,yes,42,22,21
171,E177,2016,Friday,26-Aug-16,26AUG16112101901,922,832,Malvika,35571.443,no,yes,41,26,15
172,E178,2016,Friday,26-Aug-16,26AUG16112101902,558,120,Malvika,36453.282,no,yes,37,22,18
173,E179,2016,Friday,26-Aug-16,26AUG16112101902,558,235,Malvika,39942.302,no,yes,33,21,21
174,E180,2016,Friday,26-Aug-16,26AUG16112101902,558,326,Malvika,36461.785,no,yes,34,19,15
175,E181,2016,Friday,26-Aug-16,26AUG16112101902,558,425,Malvika,36875.301,no,yes,30,20,15
176,E182,2016,Saturday,27-Aug-16,27AUG16082602101,921,119,Malvika,38043.702,no,yes,34,5,6
177,E183,2016,Saturday,27-Aug-16,27AUG16082602101,921,218,Malvika,38501.047,no,yes,36,5,6
178,E184,2016,Saturday,27-Aug-16,27AUG16082602101,921,240,Malvika,38852.481,no,yes,34,5,9
179,E185,2016,Saturday,27-Aug-16,27AUG16082602101,921,323,Malvika,38175.375,no,yes,36,6,12
180,E186,2016,Saturday,27-Aug-16,27AUG16082602101,921,404,Malvika,38504.457,no,yes,33,5,9
181,E187,2016,Saturday,27-Aug-16,27AUG16082602101,921,500,Malvika,39539.636,no,yes,29,6,12
182,E188,2016,Saturday,27-Aug-16,27AUG16082602101,921,544,Malvika,38826.349,no,yes,32,6,12
183,E189,2016,Saturday,27-Aug-16,27AUG16082602101,921,623,Malvika,37679.895,no,yes,33,6,12
184,E190,2016,Saturday,27-Aug-16,27AUG16082602101,921,659,Malvika,39424.472,no,yes,32,6,12
185,E191,2016,Saturday,27-Aug-16,27AUG16082602101,921,758,Malvika,38472.836,no,yes,30,6,6
186,E192,2016,Saturday,27-Aug-16,27AUG16082602101,921,844,Malvika,39440.287,no,yes,32,6,9
187,E193,2016,Saturday,27-Aug-16,27AUG16082602101,921,920,Malvika,37841.569,no,yes,33,6,9
188,E194,2016,Saturday,27-Aug-16,27AUG16082602102,530,108,Malvika,39278.268,no,yes,32,6,15
189,E195,2016,Saturday,27-Aug-16,27AUG16082602102,530,236,Malvika,38613.536,no,yes,30,6,12
190,E196,2016,Saturday,27-Aug-16,27AUG16082602102,530,327,Malvika,39372.863,no,yes,22,5,6
191,E197,2016,Saturday,27-Aug-16,27AUG16090302201,921,107,Malvika,38960.914,no,yes,20,4,6
192,E198,2016,Saturday,27-Aug-16,27AUG16090302201,921,219,Malvika,38479,no,yes,32,8,12
193,E199,2016,Saturday,27-Aug-16,27AUG16090302201,921,254,Malvika,38849.766,no,yes,36,9,12
194,E200,2016,Saturday,27-Aug-16,27AUG16090302201,921,438,Malvika,38001.043,no,yes,28,10,18
195,E201,2016,Saturday,27-Aug-16,27AUG16090302201,921,507,Malvika,39176.567,no,yes,24,8,15
196,E202,2016,Saturday,27-Aug-16,27AUG16090302201,921,556,Malvika,37945.548,no,yes,23,10,15
197,E203,2016,Saturday,27-Aug-16,27AUG16090302201,921,626,Malvika,37649.288,no,yes,22,10,15
198,E204,2016,Saturday,27-Aug-16,27AUG16090302201,921,645,Malvika,38752.463,no,yes,26,9,15
199,E205,2016,Saturday,27-Aug-16,27AUG16090302201,921,713,Malvika,38141.943,no,yes,26,9,12
200,E206,2016,Saturday,27-Aug-16,27AUG16090302201,921,743,Malvika,37668.34,no,yes,25,9,18
201,E207,2016,Saturday,27-Aug-16,27AUG16090302201,921,828,Malvika,37743.472,no,yes,25,10,25
202,E208,2016,Saturday,27-Aug-16,27AUG16090302202,551,14,Malvika,38582.879,no,yes,12,3,6
203,E209,2016,Saturday,27-Aug-16,27AUG16090302202,551,57,Malvika,38279.296,no,yes,29,9,9
204,E210,2016,Saturday,27-Aug-16,27AUG16090302202,551,137,Malvika,39231.147,no,yes,28,10,16
205,E211,2016,Saturday,27-Aug-16,27AUG16090302202,551,210,Malvika,37998.726,no,yes,25,8,12
206,E212,2016,Saturday,27-Aug-16,27AUG16090302202,551,251,Malvika,37635.506,no,yes,25,8,12
207,E213,2016,Saturday,27-Aug-16,27AUG16093302301,922,55,Malvika,37984.744,no,yes,24,9,15
208,E214,2016,Saturday,27-Aug-16,27AUG16093302301,922,140,Malvika,38637.803,no,yes,25,9,15
209,E215,2016,Saturday,27-Aug-16,27AUG16093302301,922,214,Malvika,37963.837,no,yes,24,10,12
210,E216,2016,Saturday,27-Aug-16,27AUG16093302301,922,244,Malvika,38145.534,no,yes,25,9,12
211,E217,2016,Saturday,27-Aug-16,27AUG16093302301,922,400,Malvika,38053.401,no,yes,27,9,15
212,E218,2016,Saturday,27-Aug-16,27AUG16093302301,922,509,Malvika,38539.446,no,yes,26,10,18
213,E219,2016,Saturday,27-Aug-16,27AUG16093302301,922,549,Malvika,39087.046,no,yes,25,10,15
214,E220,2016,Saturday,27-Aug-16,27AUG16093302301,922,656,Malvika,38211.928,no,yes,23,11,12
215,E221,2016,Saturday,27-Aug-16,27AUG16093302301,922,743,Malvika,38905.76,no,yes,24,13,15
216,E222,2016,Saturday,27-Aug-16,27AUG16093302301,922,854,Malvika,38382.688,no,yes,25,11,15
217,E223,2016,Saturday,27-Aug-16,27AUG16093302302,608,107,Malvika,39466.915,no,yes,14,9,9
218,E224,2016,Saturday,27-Aug-16,27AUG16093302302,608,138,Malvika,38921.408,no,yes,18,12,9
219,E225,2016,Saturday,27-Aug-16,27AUG16093302302,608,229,Malvika,37771.755,no,yes,17,18,18
220,E226,2016,Saturday,27-Aug-16,27AUG16100602401,921,126,Malvika,38424.728,no,yes,13,5,9
221,E227,2016,Saturday,27-Aug-16,27AUG16100602401,921,154,Malvika,37885.417,no,yes,15,6,9
222,E228,2016,Saturday,27-Aug-16,27AUG16100602401,921,346,Malvika,39331.489,no,yes,16,8,15
223,E229,2016,Saturday,27-Aug-16,27AUG16100602401,921,512,Malvika,37968.637,no,yes,18,9,15
224,E230,2016,Saturday,27-Aug-16,27AUG16100602401,921,621,Malvika,38696.208,no,yes,19,11,15
225,E231,2016,Saturday,27-Aug-16,27AUG16100602401,921,816,Malvika,38824.375,no,yes,21,13,15
226,E232,2016,Saturday,27-Aug-16,27AUG16100602401,921,859,Malvika,38925.665,no,yes,23,14,15
227,E233,2016,Saturday,27-Aug-16,27AUG16100602402,600,121,Malvika,38144.783,no,yes,13,10,9
228,E234,2016,Saturday,27-Aug-16,27AUG16100602402,600,239,Malvika,37672.754,no,yes,12,12,15
229,E235,2016,Saturday,27-Aug-16,27AUG16104902501,920,123,Malvika,37911.211,no,yes,14,13,18
230,E236,2016,Saturday,27-Aug-16,27AUG16104902501,920,154,Malvika,38830.671,no,yes,17,14,15
231,E237,2016,Saturday,27-Aug-16,27AUG16104902501,920,301,Malvika,39545.751,no,yes,17,13,15
232,E238,2016,Saturday,27-Aug-16,27AUG16104902501,920,514,Malvika,38612.32,no,yes,13,11,15
233,E239,2016,Saturday,27-Aug-16,27AUG16104902501,920,618,Malvika,39349.697,no,yes,14,11,12
234,E240,2016,Saturday,27-Aug-16,27AUG16104902501,920,705,Malvika,37638.055,no,yes,12,12,12
235,E241,2016,Saturday,27-Aug-16,27AUG16104902501,920,831,Malvika,38646.057,no,yes,13,11,15
236,E242,2016,Saturday,27-Aug-16,27AUG16104902502,608,9,Malvika,39469.255,no,yes,12,5,3
237,E243,2016,Saturday,27-Aug-16,27AUG16104902502,608,231,Malvika,37629.611,no,yes,12,8,6
238,E244,2016,Saturday,27-Aug-16,27AUG16104902502,608,436,Malvika,39393.326,no,yes,3,2,4
239,E245,2016,Saturday,27-Aug-16,27AUG16112502601,922,59,Malvika,37676.4,no,yes,20,9,9
240,E246,2016,Saturday,27-Aug-16,27AUG16112502601,922,203,Malvika,38257.803,no,yes,6,8,6
241,E247,2016,Saturday,27-Aug-16,27AUG16112502601,922,242,Malvika,38140.82,no,yes,21,9,12
242,E248,2016,Saturday,27-Aug-16,27AUG16112502601,922,331,Malvika,38659.234,no,yes,15,7,12
243,E249,2016,Saturday,27-Aug-16,27AUG16112502601,922,357,Malvika,37943.298,no,yes,18,6,9
244,E250,2016,Saturday,27-Aug-16,27AUG16112502601,922,545,Malvika,37658.599,no,yes,11,8,9
245,E251,2016,Saturday,27-Aug-16,27AUG16112502601,922,630,Malvika,39032.838,no,yes,12,7,12
246,E252,2016,Saturday,27-Aug-16,27AUG16112502601,922,712,Malvika,39109.12,no,yes,7,5,6
247,E253,2016,Saturday,27-Aug-16,27AUG16112502601,922,822,Malvika,38607.258,no,yes,8,5,9
248,E254,2016,Saturday,27-Aug-16,27AUG16112502602,515,211,Hoa,25991.28,no,No,9,4,9
249,E255,2016,Saturday,27-Aug-16,27AUG16112502602,515,247,Hoa,29923.411,no,No,10,4,6
250,E256,2016,Saturday,27-Aug-16,27AUG16114902701,921,136,Hoa,26799.489,no,No,13,3,6
251,E257,2016,Saturday,27-Aug-16,27AUG16114902701,921,314,Hoa,26355.524,no,yes,11,2,3
252,E258,2016,Saturday,27-Aug-16,27AUG16114902701,921,448,Hoa,44171.614,no,No,20,3,3
